0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239
-89.38523328,-118.6670322,0,0,0,0,0,0,0,0,0,0,-72.2790303,-67.4830906,0,0,0,0,0,0,0,0,0,0,-19.1897311,-25.0243837,0,0,0,0,0,0,0,0,0,0,-10.05333274,-8.880292478,0,0,0,0,0,0,0,0,0,0,-16.85276543,-13.88592078,0,0,0,0,0,0,0,0,0,0,1.77580478,-0.5470002692,0,0,0,0,0,0,0,0,0,0,-8.066488918,-8.720574212,0,0,0,0,0,0,0,0,0,0,13.3927493,9.838237268,0,0,0,0,0,0,0,0,0,0,21.41759977,23.14059824,0,0,0,0,0,0,0,0,0,0,10.3658068,18.82836722,0,0,0,0,0,0,0,0,0,0,-12.35941296,0.09630972339,0,0,0,0,0,0,0,0,0,0,-16.74734626,-16.43301819,0,0,0,0,0,0,0,0,0,0,0.6262551608,-6.011940922,0,0,0,0,0,0,0,0,0,0,11.73617378,5.743888526,0,0,0,0,0,0,0,0,0,0,6.716984519,11.54724077,0,0,0,0,0,0,0,0,0,0,9.907750893,11.76294944,0,0,0,0,0,0,0,0,0,0,-0.5530185137,-5.116360459,0,0,0,0,0,0,0,0,0,0,4.511733615,2.635362245,0,0,0,0,0,0,0,0,0,0,-5.480269942,2.581085509,0,0,0,0,0,0,0,0,0,0,4.226045487,8.448974968,0,0,0,0,0,0,0,0,0,0
-136.0011066,-148.06419,0,0,0,0,0,0,0,0,0,0,-56.7689211,-57.51610243,0,0,0,0,0,0,0,0,0,0,-42.22168558,-38.52808428,0,0,0,0,0,0,0,0,0,0,-26.97169495,-21.47444875,0,0,0,0,0,0,0,0,0,0,-20.91354999,-17.61821329,0,0,0,0,0,0,0,0,0,0,-0.4590662804,1.588995273,0,0,0,0,0,0,0,0,0,0,26.54382884,19.00513556,0,0,0,0,0,0,0,0,0,0,12.27299236,3.995126862,0,0,0,0,0,0,0,0,0,0,19.21910062,16.76313589,0,0,0,0,0,0,0,0,0,0,17.00387272,21.27549551,0,0,0,0,0,0,0,0,0,0,15.29650415,24.62298533,0,0,0,0,0,0,0,0,0,0,-2.408298491,0.3910262437,0,0,0,0,0,0,0,0,0,0,-17.81351459,-26.09093397,0,0,0,0,0,0,0,0,0,0,-1.378032647,-10.74993213,0,0,0,0,0,0,0,0,0,0,20.96784223,20.57311187,0,0,0,0,0,0,0,0,0,0,6.038280645,8.066032819,0,0,0,0,0,0,0,0,0,0,-18.45456167,-19.86597899,0,0,0,0,0,0,0,0,0,0,20.28553912,16.918545,0,0,0,0,0,0,0,0,0,0,30.15894269,33.60143172,0,0,0,0,0,0,0,0,0,0,1.074561071,12.27687955,0,0,0,0,0,0,0,0,0,0
-162.2267437,-117.4850642,-106.1384399,-192.6571536,0,0,0,0,0,0,0,0,-42.75017986,-54.02235747,-38.35746703,-2.509658026,0,0,0,0,0,0,0,0,-75.90073837,-44.52166724,-48.02888113,-68.26345907,0,0,0,0,0,0,0,0,-23.25391221,-12.89536794,-21.79492803,-37.33657145,0,0,0,0,0,0,0,0,-31.3402025,-22.98196743,-24.93789924,-26.66467791,0,0,0,0,0,0,0,0,-8.945390469,-6.878277315,-2.276435547,-2.863879562,0,0,0,0,0,0,0,0,9.411751373,7.463519686,14.71082996,21.35533516,0,0,0,0,0,0,0,0,9.637730009,-4.679005641,-3.873707624,4.682104043,0,0,0,0,0,0,0,0,-3.681289432,2.186818514,2.3335588,3.068513265,0,0,0,0,0,0,0,0,22.65059826,26.13689839,20.66683255,13.37190057,0,0,0,0,0,0,0,0,32.69968781,37.28307809,36.57114836,31.00813328,0,0,0,0,0,0,0,0,7.310857243,12.38816612,10.77321767,2.530907192,0,0,0,0,0,0,0,0,-27.46809199,-23.2862388,-19.4695097,-12.77094828,0,0,0,0,0,0,0,0,-4.15814307,-9.498066531,-8.62837114,-6.62812815,0,0,0,0,0,0,0,0,4.797632929,9.203176236,6.952873962,3.757914867,0,0,0,0,0,0,0,0,6.12003409,11.22382105,9.035967481,6.33906026,0,0,0,0,0,0,0,0,-18.62508742,-18.74263464,-12.83686166,-3.171409631,0,0,0,0,0,0,0,0,-6.668497497,-8.084584539,-4.008204594,5.424831355,0,0,0,0,0,0,0,0,35.8707331,28.77272683,16.29400443,5.939474398,0,0,0,0,0,0,0,0,32.69193197,36.6360154,30.90416907,18.37717814,0,0,0,0,0,0,0,0
-397.8665721,-377.3083868,-398.7098076,0,0,0,0,0,0,0,0,0,18.32151811,0.7917319262,-23.16925401,0,0,0,0,0,0,0,0,0,-35.35163955,-35.9457394,-45.09715401,0,0,0,0,0,0,0,0,0,1.335431218,3.656467742,-8.635972862,0,0,0,0,0,0,0,0,0,-15.44971566,-23.29538797,-33.02728044,0,0,0,0,0,0,0,0,0,-19.33598569,-21.77290214,-23.52910838,0,0,0,0,0,0,0,0,0,-4.082497812,0.1206338808,9.539569838,0,0,0,0,0,0,0,0,0,20.03456397,11.36667478,10.74136847,0,0,0,0,0,0,0,0,0,14.86789701,28.30837168,41.26273865,0,0,0,0,0,0,0,0,0,30.75590826,24.33365063,15.68732648,0,0,0,0,0,0,0,0,0,-14.56991526,-18.10636393,-30.53953194,0,0,0,0,0,0,0,0,0,-37.10337429,-35.06855652,-28.14159529,0,0,0,0,0,0,0,0,0,-20.17883831,-20.64926827,-12.21668459,0,0,0,0,0,0,0,0,0,18.21537588,17.92359649,14.24536515,0,0,0,0,0,0,0,0,0,-3.15454385,7.113212767,13.04776322,0,0,0,0,0,0,0,0,0,-6.645744942,-13.37544801,-13.32107391,0,0,0,0,0,0,0,0,0,11.7535091,6.116227894,0.9242308326,0,0,0,0,0,0,0,0,0,34.56769502,25.87079281,15.49990213,0,0,0,0,0,0,0,0,0,-1.030654505,6.551169195,10.34664898,0,0,0,0,0,0,0,0,0,-26.00911731,-15.20335125,-0.7731565372,0,0,0,0,0,0,0,0,0
-133.7301979,-148.4449647,-223.2814645,0,0,0,0,0,0,0,0,0,-97.98588728,-85.8689035,-46.53916756,0,0,0,0,0,0,0,0,0,-26.36183961,-23.13603133,-28.42537511,0,0,0,0,0,0,0,0,0,-11.53661054,-8.24335163,-1.801272418,0,0,0,0,0,0,0,0,0,-19.23318285,-16.76038019,-10.74189373,0,0,0,0,0,0,0,0,0,-1.755645237,-3.319581795,-8.29557313,0,0,0,0,0,0,0,0,0,-3.796435562,-4.609521033,4.275854487,0,0,0,0,0,0,0,0,0,25.11430056,13.31242842,2.825459606,0,0,0,0,0,0,0,0,0,34.76780093,29.78405392,17.69245884,0,0,0,0,0,0,0,0,0,20.52841787,28.49956956,31.71914706,0,0,0,0,0,0,0,0,0,-25.02253084,-5.623145628,16.58927259,0,0,0,0,0,0,0,0,0,-24.52516704,-18.5211702,-14.81773709,0,0,0,0,0,0,0,0,0,-18.1352169,-22.01179942,-26.51294862,0,0,0,0,0,0,0,0,0,14.02902422,6.423038991,-4.741105564,0,0,0,0,0,0,0,0,0,12.8592095,15.00512308,14.72621731,0,0,0,0,0,0,0,0,0,6.647176763,8.262096288,10.75208907,0,0,0,0,0,0,0,0,0,-6.568843794,-12.40799313,-12.88817982,0,0,0,0,0,0,0,0,0,24.74283086,18.50105255,14.45543484,0,0,0,0,0,0,0,0,0,18.90788976,21.40249999,27.43948922,0,0,0,0,0,0,0,0,0,-2.064393928,-6.507288844,-9.875212528,0,0,0,0,0,0,0,0,0
-143.1082936,-113.6238432,-117.9554309,-197.0405343,0,0,0,0,0,0,0,0,-17.31351899,-23.39519053,-10.64341695,20.6367153,0,0,0,0,0,0,0,0,-48.74593114,-31.97400146,-39.56741377,-61.50941407,0,0,0,0,0,0,0,0,-33.9233519,-17.92465287,-16.24964912,-27.44049434,0,0,0,0,0,0,0,0,-24.74818468,-16.91060773,-15.30660202,-18.83206975,0,0,0,0,0,0,0,0,3.452505346,6.236380688,8.694110947,0.7180136669,0,0,0,0,0,0,0,0,-1.434502407,-6.218977334,1.225566818,14.21793203,0,0,0,0,0,0,0,0,-0.9258633414,-6.755878848,-8.655466773,-3.853068579,0,0,0,0,0,0,0,0,9.431244474,-1.688474409,-15.9034886,-11.28905494,0,0,0,0,0,0,0,0,22.78572862,14.72508144,5.669203891,7.420883387,0,0,0,0,0,0,0,0,20.91916555,22.31171162,20.5780389,18.79865426,0,0,0,0,0,0,0,0,-8.561441342,-3.13641417,1.533862675,-2.201159809,0,0,0,0,0,0,0,0,-22.93809389,-23.0184712,-18.60055105,-16.62498024,0,0,0,0,0,0,0,0,-22.6374971,-22.58518229,-20.18851211,-14.94441092,0,0,0,0,0,0,0,0,7.854209693,2.47744628,-5.633832451,-5.256712966,0,0,0,0,0,0,0,0,10.4279904,7.152297611,1.541655054,-1.182263061,0,0,0,0,0,0,0,0,-19.32021356,-16.04012079,-10.39413954,-3.349582624,0,0,0,0,0,0,0,0,-10.50523942,-10.80863489,-9.969821086,-4.790912455,0,0,0,0,0,0,0,0,20.10096531,17.19899687,10.78748354,7.247399213,0,0,0,0,0,0,0,0,17.29678472,23.24483819,21.86430595,15.85081154,0,0,0,0,0,0,0,0
-140.8635486,-159.1493522,-237.1327381,0,0,0,0,0,0,0,0,0,-61.34679093,-60.25527846,-27.24771379,0,0,0,0,0,0,0,0,0,-45.19515088,-44.27235878,-36.90183845,0,0,0,0,0,0,0,0,0,0.9614093709,3.345705628,-6.745982817,0,0,0,0,0,0,0,0,0,-14.90984392,-13.9420024,-11.90112503,0,0,0,0,0,0,0,0,0,-5.340312002,-7.294212847,-5.200078376,0,0,0,0,0,0,0,0,0,11.35070711,6.872599319,4.662181425,0,0,0,0,0,0,0,0,0,-5.311425942,-7.774320545,-8.047146758,0,0,0,0,0,0,0,0,0,28.01654486,26.42632266,14.54734685,0,0,0,0,0,0,0,0,0,28.77640223,30.863904,22.7997136,0,0,0,0,0,0,0,0,0,15.01664874,19.94604269,24.86719421,0,0,0,0,0,0,0,0,0,-34.98391579,-30.10815354,-4.695337569,0,0,0,0,0,0,0,0,0,-18.77672926,-20.18865313,-9.407483245,0,0,0,0,0,0,0,0,0,-9.225034384,-14.18423737,-19.16107511,0,0,0,0,0,0,0,0,0,23.5040129,23.49699776,15.55811945,0,0,0,0,0,0,0,0,0,-8.166037406,-6.674352634,2.915417629,0,0,0,0,0,0,0,0,0,3.313911657,-4.072839507,-9.211173377,0,0,0,0,0,0,0,0,0,24.44229238,19.96515621,11.15686024,0,0,0,0,0,0,0,0,0,9.780239046,18.52695033,26.72749996,0,0,0,0,0,0,0,0,0,-16.35387279,-6.818373243,9.221562107,0,0,0,0,0,0,0,0,0
-136.8561485,-155.2587129,0,0,0,0,0,0,0,0,0,0,-52.44206019,-43.84180944,0,0,0,0,0,0,0,0,0,0,-70.55060768,-70.00974297,0,0,0,0,0,0,0,0,0,0,4.910050974,2.693774954,0,0,0,0,0,0,0,0,0,0,-44.33367233,-41.35832144,0,0,0,0,0,0,0,0,0,0,27.68456986,20.56786327,0,0,0,0,0,0,0,0,0,0,14.59234899,10.43114568,0,0,0,0,0,0,0,0,0,0,15.86943774,9.3039144,0,0,0,0,0,0,0,0,0,0,21.06730008,21.20747763,0,0,0,0,0,0,0,0,0,0,22.95278024,22.95764122,0,0,0,0,0,0,0,0,0,0,-29.58845015,-19.13350787,0,0,0,0,0,0,0,0,0,0,-18.70779041,-11.89808295,0,0,0,0,0,0,0,0,0,0,-9.161748679,-10.45875054,0,0,0,0,0,0,0,0,0,0,8.017509768,2.015427395,0,0,0,0,0,0,0,0,0,0,5.438250065,6.926864616,0,0,0,0,0,0,0,0,0,0,-6.762868297,-5.319374695,0,0,0,0,0,0,0,0,0,0,23.10167,18.748803,0,0,0,0,0,0,0,0,0,0,19.11607897,22.81741576,0,0,0,0,0,0,0,0,0,0,-10.94409729,-6.084052148,0,0,0,0,0,0,0,0,0,0,-17.95883934,-20.67594667,0,0,0,0,0,0,0,0,0,0
-134.7141671,-154.0430194,0,0,0,0,0,0,0,0,0,0,-79.27656059,-67.58430411,0,0,0,0,0,0,0,0,0,0,-43.92904111,-41.04801122,0,0,0,0,0,0,0,0,0,0,2.043300157,-0.0807217459,0,0,0,0,0,0,0,0,0,0,-19.43570166,-19.87296573,0,0,0,0,0,0,0,0,0,0,1.14072497,-0.7299376782,0,0,0,0,0,0,0,0,0,0,5.640341705,4.676468004,0,0,0,0,0,0,0,0,0,0,-7.496846308,-7.360051929,0,0,0,0,0,0,0,0,0,0,0.1586039771,1.744608238,0,0,0,0,0,0,0,0,0,0,23.98307936,21.06356969,0,0,0,0,0,0,0,0,0,0,25.75565679,22.44554474,0,0,0,0,0,0,0,0,0,0,17.7215915,13.44227087,0,0,0,0,0,0,0,0,0,0,-21.88339494,-21.7277419,0,0,0,0,0,0,0,0,0,0,-25.52314567,-26.76963756,0,0,0,0,0,0,0,0,0,0,10.41454865,9.165397485,0,0,0,0,0,0,0,0,0,0,18.5294849,20.22150217,0,0,0,0,0,0,0,0,0,0,-7.850579774,-3.22486412,0,0,0,0,0,0,0,0,0,0,3.62880944,2.025076532,0,0,0,0,0,0,0,0,0,0,21.33515223,15.86375473,0,0,0,0,0,0,0,0,0,0,18.85279751,20.45820811,0,0,0,0,0,0,0,0,0,0
-124.9595968,-113.4663726,-148.757835,0,0,0,0,0,0,0,0,0,-94.47853025,-107.6557561,-91.94695369,0,0,0,0,0,0,0,0,0,-76.46237896,-69.57120481,-59.49623415,0,0,0,0,0,0,0,0,0,-3.996802516,-3.245924785,-14.22464519,0,0,0,0,0,0,0,0,0,-47.36717228,-48.26854519,-48.95455282,0,0,0,0,0,0,0,0,0,11.8694912,14.04024612,10.64416193,0,0,0,0,0,0,0,0,0,-10.93239462,-9.233135035,-2.509431529,0,0,0,0,0,0,0,0,0,10.65505167,-1.259171817,-7.8307919,0,0,0,0,0,0,0,0,0,-5.667589031,-6.375620247,-6.289637472,0,0,0,0,0,0,0,0,0,38.03849362,36.86396731,22.18901736,0,0,0,0,0,0,0,0,0,13.56243974,20.71702323,13.9971188,0,0,0,0,0,0,0,0,0,2.347076048,13.75854849,19.17580184,0,0,0,0,0,0,0,0,0,-15.6358413,-17.95963691,-5.636725254,0,0,0,0,0,0,0,0,0,-8.704881374,-18.51899516,-12.26892988,0,0,0,0,0,0,0,0,0,2.659098684,-2.107918273,-3.961687849,0,0,0,0,0,0,0,0,0,-4.001375681,5.384464176,8.587106631,0,0,0,0,0,0,0,0,0,-18.74272006,-20.06384863,-15.37657653,0,0,0,0,0,0,0,0,0,-14.00656058,-23.33739943,-31.42713093,0,0,0,0,0,0,0,0,0,22.81773852,15.1226817,-2.900281544,0,0,0,0,0,0,0,0,0,32.93219322,41.57587555,37.59736753,0,0,0,0,0,0,0,0,0
